Affy drosophila 2	FlyBaseName gene
1624394_at	CG13332
1640429_a_at	CG6145
1636381_a_at	CG6145
	CG33156
1636381_a_at	CG33156
1626002_at	Roe1
1639427_at	CG13333
1636339_at	CG13334
1637275_a_at	CG13335
1625281_at	CG6191
1629918_at	CG6197
1640959_at	CG18369
1623532_at	CG34236
1636971_at	CG12464
1628009_at	fas
1631022_at	CG6209
1634826_at	CG13337
1626126_at	CG18368
1629888_at	CG6220
1631265_at	CG6280
1630333_at	Cpr50Ca
1635139_at	CG13340
1629304_at	Cpr50Cb
1629304_at	stj
1627533_at	stj
1632135_a_at	fl(2)d
1626051_at	CG13339
1629804_s_at	CG6329
1633533_at	CG6329
1633749_at	CG6337
1623421_at	CG6347
1633059_at	CG6357
1639431_at	synaptogyrin
1622969_at	CG30484
1638028_at	CG30485
1640466_s_at	CG6543
1636148_at	CG6553
1634690_at	tum
1639153_at	CG13343
1632316_at	CG16935
1635377_at	CG13344
1633745_a_at	shot
1633817_at	DJ-1alpha
1632602_s_at	AGO1
1634656_s_at	mRpL53
1634656_s_at	CG33155
1629266_s_at	CG13349
1625264_s_at	Cp1
1636872_at	Aats-phe
1624067_at	CG6704
1629534_at	CG18568
1635737_at	CG6701
1623830_at	CG13350
1623302_at	CG8067
1631687_at	RN-tre
1625146_a_at	RN-tre
1633470_at	RN-tre
1622996_at	RN-tre
1632457_s_at	mam
1624960_at	mam
1628781_at	CG30482
1623297_at	CG18371
1629160_s_at	Prosap
1625236_s_at	Prosap
1624849_at	Prosap
	CG42287
1630354_at	CG42288
1637787_a_at	CG8233
1640151_at	pea
1629541_at	CG13018
1634868_at	CG13016
1627528_at	CG8257
1631674_at	O-fut1
1629578_at	Tango7
1633690_at	CG8323
1633434_at	CG18327
1632700_a_at	CG18324
1633559_at	CG8331
1626433_at	mRpS16
1630717_s_at	cg
	cg
1635730_at	CG30069
1625228_at	CG8394
1633271_at	Sox15
1633526_at	Sox15
1637831_at	CG30071
1638832_at	RpS23
1641018_s_at	CG8468
1626840_a_at	opa1-like
1628969_s_at	CG8485
1626786_at	CG8494
1638400_at	CG8503
1638775_at	Mdr50
1627109_at	Hsc70-5
1638456_at	CG8531
1638113_at	beta4GalNAcTA
1640747_s_at	CG8547
1628834_a_at	SelD
1629638_at	Als
1633582_at	Ih
	Ih
1638729_at	CG8589
1629937_a_at	CG34379
1627487_at	CG34379
1630913_at	CG34379
1632731_at	CG8613
1636861_at	CG8617
1639694_s_at	Arc1
1639180_at	Arc1
1639694_s_at	CG10102
1632143_at	CG10102
1632639_at	Arc2
1638499_s_at	Tfb1
1634581_at	CG34184
	CG34442
	CG34443
1623720_at	CG34444
1624828_at	Obp50a
1629706_at	Obp50b
1633837_at	Obp50c
1629706_at	Obp50c
1625659_at	Obp50d
	CG34185
1630462_at	Obp50e
1640511_at	CG30075
1638336_at	CG8422
1639073_at	CG10104
1637583_at	CG17385
1635018_at	Sin1
1633337_at	CG17386
1624262_at	phyl
1625306_at	CG17388
1640038_at	CG17389
1628411_at	Oaz
1637785_at	L
1636774_at	cpsf
	Asx
1628901_at	Asx
1638869_at	Cpr51A
1634388_at	CG30197
1637442_at	ttv
1635855_at	CG30076
1629981_at	LamC
1629232_at	CG12869
1629356_at	RpI1
1630798_at	CG30077
1639205_s_at	tra2
1635030_at	CG12868
1631521_at	CG33469
1631521_at	CG33468
1635486_at	CG33468
1637356_a_at	Su(var)2-HP2
1627382_at	Sec61beta
1635428_at	CG12863
1623555_at	CG10131
1623622_a_at	CG12862
1640996_at	CG12862
1632511_at	CG12862
1640793_at	CG10139
1638647_at	Adgf-E
1636473_at	CG12861
1639634_at	CG12860
1633433_at	CG12866
1631327_at	mspo
1626750_at	CG30479
1635845_at	CG30480
1637409_at	CG12865
1635705_at	CG12858
1631697_at	Dro
1627551_s_at	AttA
1625124_at	AttA
1627551_s_at	AttB
1628466_s_at	Rpn6
1636929_at	ave
1630624_s_at	CG10151
1630156_at	CG12859
1629954_at	CG10153
1639898_at	CG12857
1639243_at	Spred
1632775_at	Spred
1632775_at	CG42254
1624484_a_at	BEAF-32
1639479_a_at	kn
1623344_at	CG12856
1628087_s_at	CG10200
1624757_at	CG10202
1630084_at	CG10205
1635272_a_at	CG10205
1623035_at	NaPi-T
1634408_at	NaPi-T
1634408_at	CG10209
1634149_at	SMC2
1640079_at	Ercc1
1639968_at	Ciao1
1627118_at	HPS
1632763_at	CG33506
	CG33505
1638931_at	Pcf11
1631533_at	Cyp6a22
1628052_at	Cyp6a17
1624101_at	Cyp6a23
1639381_at	Cyp6a19
1628345_at	Cyp6a9
1632021_at	Cyp6a20
1624939_at	Cyp6a21
1640755_at	Cyp6a8
1626905_at	Cyp317a1
1623036_a_at	CG10249
1641050_s_at	CG10249
1629034_at	CG10253
1634251_at	CG12853
1639189_at	Lap1
1631110_at	CG10257
	aPKC
1627948_at	aPKC
1640307_at	CG30475
1641657_s_at	CG12424
1637004_at	pcs
1630893_at	CG7639
1631194_at	CG10265
1625259_at	CG10265
1637539_a_at	hbs
1629208_at	Obp51a
	CG33467
	chn
1627614_at	chn
1641123_at	CG34186
1631190_at	CG8089
1638318_at	CG7544
1633157_a_at	igl
	Sfp51E
1627473_at	CG8090
1628627_at	CG11807
	CG42391
1628825_at	CG8092
1623401_a_at	CG8092
1638839_at	CG8092
1623976_at	CG30081
1634515_at	CG8093
1624271_at	CG11808
1641262_at	mRpL41
1630835_a_at	CG8079
1630147_at	Hex-C
1632824_at	Fs
1637541_at	Fs
1629803_a_at	scb
1632299_at	alphaPS4
1640262_at	CG34123
1634860_at	CG34123
1627395_a_at	CG34123
1626061_at	CG34123
1623042_at	CG34187
1627952_a_at	CG8102
1640101_at	CG8152
1632827_a_at	mus210
1627431_at	CG8155
1624208_s_at	Arf51F
1638301_at	CG8157
1638648_at	CG8160
1641099_a_at	Hr51
1632550_at	unc-5
1641382_at	Pms2
1624994_at	dup
1632130_s_at	SRPK
1627613_at	Mtk
1629798_at	CG34365
1634144_at	CG34365
1635559_at	CG34365
1627613_at	CG34365
1631383_at	CG30472
1639112_s_at	CG34188
1635345_at	CG34188
1636386_s_at	CG8179
1640162_at	CG8179
1636386_s_at	CG34318
1640162_at	CG34318
1638493_at	CG30470
1629887_at	CG8180
1641509_at	CG12964
1637756_at	CG12960
1630850_at	CG30469
1634821_at	CG30468
1631306_at	CG30464
1641078_s_at	GalNAc-T1
1627136_at	Khc-73
1639305_a_at	Khc-73
1635136_at	CG30471
1638590_at	CG30467
1640115_at	CG8187
1624086_at	Vha36
1638841_at	eIF2B-gamma
1632091_at	CG8192
1629089_a_at	CG12963
1638782_at	CG8195
1640276_a_at	Flo
1637085_at	Cdk5
1623508_at	CG30466
1632777_at	CG8204
1632840_s_at	fus
1630930_a_at	fus
1639358_at	CG8207
1639788_at	Vha14
1632210_at	CG30091
1630177_at	Ranbp11
1630315_at	CG8214
1636154_at	CG30090
1632857_at	CG30088
1636823_at	CG30087
	CG33460
	CG33461
1640757_at	CG33462
1627759_at	CG30080
1628387_s_at	CG30080
1635033_at	CG30083
1628676_at	CG30089
1639928_a_at	Zasp
1628270_at	CG30321
1623697_s_at	CG33465
1632977_at	Poxn
1640126_at	CG8249
1635089_at	tun
1633267_a_at	CG12970
1631474_s_at	Gpo-1
1626755_at	CG30085
1631881_a_at	CG33464
1631881_a_at	sli
	CG33463
1639040_s_at	CG8291
1623698_s_at	Iap2
1639786_at	CG8297
1624559_a_at	Mlf
1633031_at	CG8299
1627068_at	Cyp4aa1
1639960_at	CG30093
1634574_a_at	Strn-Mlck
1630501_a_at	Strn-Mlck
1632519_at	CG8366
1624063_at	CG15699
1630861_at	CG8314
1627926_at	CG8315
1635663_at	CG8320
	ATPCL
1634006_s_at	ATPCL
1627926_at	ATPCL
1629053_at	CG8370
1635551_at	CG8386
1637774_s_at	CG8389
1627323_at	CG8388
1641616_at	l(2)05070
1628311_at	Rrp42
1641494_at	CG8397
1632377_at	CG8399
1639140_at	casp
1634816_at	CG8401
1625982_at	SP2353
1637206_at	CG8405
1641448_a_at	Dg
	mRpL34
1634421_at	CG8414
1626808_s_at	Rho1
1625488_s_at	Rho1
1637466_at	Ric
1625600_a_at	Asph
1629597_a_at	Asph
1640923_at	Asph
1640923_at	Jhedup
1637833_at	Jhe
1632085_at	CG30095
1630278_s_at	spin
1631817_a_at	Got1
1635887_at	CG30094
1625878_at	Aats-cys
1632041_s_at	Ext2
1632041_s_at	CG10731
1640885_at	CG10734
1632672_at	lbk
1631074_at	CG8435
1639152_at	Ptp52F
1624854_s_at	Lis-1
1637429_at	CG8441
1627927_at	CG8443
1638754_s_at	CG8445
1635120_at	CG8446
1630052_s_at	CG8446
1623473_at	shark
1638963_s_at	mrj
1640037_at	CG7798
1640917_at	CG15706
1633017_at	Tsf3
1639248_at	CG15701
1637861_at	CG7786
1629870_at	CG3687
1636625_at	krimp
1633282_at	CG15708
1635738_at	Cng
1628609_at	CG15709
	fidipidine
1640862_a_at	csul
1641312_at	Khc
1640879_at	CG33017
1623462_at	cato
1628430_at	CG15704
1624229_at	CG15705
1631872_at	CG7755
1636873_at	CG9068
1629365_at	CG30324
1633134_at	CG30099
1632802_at	JhI-26
1637768_at	CG30100
	CG42372
1637768_at	CG42372
1631622_at	CG7747
1626033_at	Atg9
1630014_at	Nox
1634345_at	Nox
1628091_at	CG8060
1627820_at	CG30096
1625494_at	CG4282
1635352_s_at	Vha44
1634072_s_at	Hmgs
1636255_s_at	CG7997
1628161_at	Nup62
1630324_at	l(2)k07824
1635880_at	CG15710
1637120_at	CG30098
1629890_a_at	CG6262
1631316_a_at	CG6262
	CG6262
1632714_at	CG15711
1635739_at	CG33960
1623684_at	CG33960
1626396_s_at	Menl-2
1628440_at	Menl-2
1629168_s_at	Menl-2
1629168_s_at	Menl-1
1626396_s_at	Menl-1
1632975_at	CG4398
1631172_at	CG7848
1638194_at	CG4409
1629838_at	CG15925
	CG33550
1629299_at	CG33524
1625380_at	CG15712
1625360_at	CG33458
1640410_at	CG33459
1626292_at	CG4439
1636218_at	CG7813
1629819_s_at	Sema-2a
1633068_at	loopin-1
1639743_s_at	Syn2
1633205_at	DAT
1639437_s_at	CG4945
1625425_a_at	RpS15
1637794_at	CG4927
1631225_at	CG8317
1639347_s_at	Cdk4
1623150_at	RpLP2
1635502_at	CG8311
1624760_at	CG8306
1636759_at	CG8303
1631991_at	CG5089
1628207_at	CG5065
1638700_at	Alk
1636517_at	gprs
1623601_at	Amyrel
1623711_at	Nach
1628494_a_at	Picot
	CG34457
1633546_at	CG34458
1633463_s_at	CG30463
	CG30463
1641259_at	Chit
1622965_s_at	Sfp53D
1638207_at	CG15617
1622965_s_at	CG15617
1631158_at	Acp53C14a
1623272_at	Acp53C14b
1627990_at	Acp53Ea
1634651_at	Acp53C14c
1634651_at	unc-104
1627990_at	unc-104
1637684_at	unc-104
	CG34189
1641201_at	CG5267
	CG42392
1640152_at	CG5348
1622984_at	Sod2
1636039_at	Arp53D
1640047_s_at	Vkor
1625601_at	resilin
1632545_s_at	CG5522
1637672_at	CG5522
1637672_at	CG15919
1627481_at	CG15615
1629201_at	CG5550
	CG34459
1632751_at	CG34460
1639299_at	Ugt37c1
1638965_at	CG5859
1624557_at	Fen1
1628041_a_at	Dek
1634021_a_at	Psi
1634095_at	Ef1beta
1634636_at	CG6426
1636426_at	CG6421
1641698_at	CG6429
1630289_at	CG6435
1634916_at	CG8910
1624655_at	CG6472
1637807_at	inaC
1632478_a_at	Pkc53E
1629985_at	CG15614
	CG34190
1641684_at	CG9013
1628478_at	CG34415
1641684_at	CG34415
	CG34191
1628922_s_at	veg
1640744_a_at	CG6665
1634981_at	CG9010
1638004_at	Cbp53E
1626003_s_at	CG30461
1639303_at	CG30461
1627427_s_at	CG30461
1627427_s_at	CG9002
1626003_s_at	CG9002
1639303_at	CG9001
1624905_at	CG9000
1636295_at	CG6796
1627539_at	NiPp1
1626988_at	CG6805
1636391_at	CG15609
	CG15609
1630703_at	CG8963
1638709_at	Ark
1624898_a_at	Ark
1634904_s_at	RhoGEF2
1624255_at	CG30459
1633467_a_at	CG30459
1637103_at	CG9640
1629332_at	CG9642
1632187_at	CG9646
1629572_a_at	fat-spondin
1638779_at	tef
1632283_at	CG8950
1626228_a_at	CG6967
1640703_at	CG30460
1624818_s_at	Sply
1636153_at	CG6984
1623957_s_at	GstS1
1625227_at	CG30456
1633641_a_at	CG15611
1639374_s_at	Amy-p
1626687_at	CG10956
1639374_s_at	Amy-d
1633314_at	CG15605
1638629_at	CG15918
	Acp54A1
1629375_at	CG11400
1641623_at	CG15917
1638669_at	CG11395
1625558_a_at	CG17290
1627166_at	CG17287
1638206_at	CG30458
1623130_at	CG30457
1626521_x_at	CG10953
1637634_at	CG10953
1630172_at	CG10950
1628968_at	CG18469
1636172_at	CG12699
	mbl
1640686_s_at	mbl
1636099_s_at	mbl
1631120_at	mbl
1641114_at	mbl
1639930_at	mbl
1636440_at	Sip1
1635596_at	CG6568
1639466_s_at	CG30101
1633217_at	CG30101
1641432_a_at	ProsMA5
1632784_at	cnk
1636958_s_at	l(2)k01209
1637628_at	CG6550
1634972_at	CG4802
1623387_at	Bap55
1636533_at	Lhr
1641282_at	EDTP
1638875_at	EDTP
1641041_at	CG18467
1641282_at	mthl4
1627967_a_at	mthl4
1637658_at	mthl3
1624846_at	CG10764
1640171_at	CG34192
1625632_at	robl
1625632_at	CG14478
1638359_s_at	CG14478
1638678_at	CG6522
1640822_s_at	qkr54B
1627238_at	CG6520
1635447_at	CG4827
1623241_s_at	CG30104
1624630_at	CG30103
1625890_at	CG14479
1626773_s_at	CG4844
1626773_s_at	CG18431
	CG34193
1638321_s_at	CG4847
1625675_a_at	CG4853
1628804_at	CG11419
1640069_at	CG4866
1627864_at	ssp4
	ssp4
1633209_s_at	eIF3-S9
1630862_at	CG18432
1640213_at	CG18631
	CG34194
1623009_at	cyp33
1636056_at	RpL18A
1633878_at	MESR4
1626268_at	Klp54D
1628029_at	CG14480
1638495_at	Ngp
1625253_at	POSH
1640491_at	CG14482
	CG42239
1634386_s_at	Rab4
1641449_at	Dcr-2
1626734_at	CG6484
1637988_at	CG14483
1625119_at	RhoGAP54D
	RhoGAP54D
1626871_at	icln
1632326_at	CG30105
1632355_at	lack
1637871_at	CG11423
1639703_s_at	CG10936
1625083_at	rhi
1636001_at	CG18186
1628222_at	CG30106
1637193_at	eIF3-S8
1637376_at	eIF3-S8
1637376_at	CG30108
1633487_at	CG30109
1634572_at	CG6459
1634572_at	Sema-1b
1636281_at	Sema-1b
1640577_a_at	CG4966
1624158_at	CG14481
1628930_at	swi2
1629552_at	rdgBbeta
1632465_s_at	CG6424
1634595_at	CG10934
1638211_at	CG10933
1630224_at	CG6410
1634872_at	CG4975
1627688_at	CG4975
1628766_at	CG4975
1628766_at	CG4984
1634872_at	CG4984
1627688_at	CG34195
1627966_s_at	CG6406
1635762_at	CG6401
1630423_at	CG4996
1639167_at	CG14487
1633178_at	sub
1626909_at	CG10931
1634012_at	CG5002
1639819_at	CG6385
1623050_at	HLH54F
1624756_at	CG5009
1637274_at	CG6370
1630630_at	CG6370
1637274_at	CG14488
1641582_at	CG18635
1631203_at	CG6362
1628190_at	fab1
	fab1
1628190_at	CG33981
1631203_at	CG33981
1637274_at	CG33981
1641582_at	CG33981
1626580_at	aft
1634533_at	UbcD10
1636468_a_at	CG5033
1636468_a_at	CG5036
1628083_at	CG5036
1634573_a_at	grh
1635106_at	grh
1635648_at	olf186-F
1637534_at	olf186-F
1625514_s_at	olf186-F
1628075_at	olf186-M
1623098_at	CG30323
1635648_at	CG14490
1634727_a_at	thr
1636363_s_at	Mapmodulin
1628097_at	elk
1635115_at	CG30325
1639683_at	CG30110
1635494_at	Bc
1628467_at	CG14492
1631539_at	CG14491
1629750_at	PpY-55A
1638950_at	dpr13
1624352_at	dpr13
1626715_at	CG5084
1624945_a_at	CG10910
1640400_at	CG5773
1632531_at	CG5770
1633532_at	CG5767
1626455_s_at	CG34005
1639824_at	CG34005
1636005_at	CG14495
1640806_at	CG5765
1624342_at	CG10911
1639454_at	CG10912
1628010_at	CG34386
1624512_at	CG34386
1640118_at	CG5757
1637079_at	CG5098
1638287_a_at	CG5756
1624309_s_at	CG34196
1633016_a_at	stau
1632613_at	Spn6
1631536_at	Dip3
1626844_at	Hsf
1623525_at	Pcl
1629659_s_at	pAbp
1624683_at	CG17680
1630942_at	CG5742
1624683_at	CG5742
1624637_at	adp
1640311_s_at	lolal
1627851_at	CG10914
1624365_at	CG10915
1636645_at	Nup75
1634176_a_at	MED9
1627646_at	MED9
1640341_s_at	Dgp-1
1639621_at	CG10916
1633517_at	CG5726
	nopo
1634043_at	CG5721
1639058_at	CG33958
1630838_at	CG33958
1623329_at	CG14500
1639267_at	CG30114
1635539_at	fj
1636091_at	fj
1631973_at	Ote
1637469_at	pen-2
1624001_at	sbb
	sbb
1635211_at	sbb
1628035_at	CG18536
1639638_a_at	CG14502
1623014_at	CG18537
1638589_at	CG18538
1635443_at	CG18539
1622924_at	CG18540
1623657_at	CG14505
	Tango8
1629530_at	IM23
1633053_at	IM1
1638772_at	CG18107
1625174_at	CG15067
1640360_at	IM2
1622893_at	IM3
1623669_at	CG16836
1631660_at	CG15065
1635060_at	CG15068
1631867_at	Idgf5
1628328_at	GstE10
1623256_at	GstE1
1641429_at	GstE2
1637129_at	GstE3
1632539_at	GstE4
1624732_at	GstE5
1625744_at	GstE6
1640065_at	GstE7
	GstE8
1628657_at	GstE9
1637332_at	imd
1628416_s_at	Dp1
1624146_at	CG5174
1623053_a_at	CG5174
1634112_a_at	CG5174
1640233_at	CG5174
1632403_at	CG12263
1641326_at	CG30118
1625830_a_at	slim
1622907_at	CG5189
1623701_at	CG5189
1622907_at	CG30120
1623701_at	CG30120
1622980_at	Gbp
1631614_at	CG5190
1623294_at	CG17669
1639615_s_at	CG30116
1630676_at	CG30116
1624800_at	CG5224
1634512_at	CG5226
1634512_at	CG42510
1634794_at	CG10924
1633599_a_at	Pepck
1635217_at	Rgk2
1633599_a_at	Rgk2
1630558_a_at	Rgk2
1631764_a_at	CG30115
1640925_at	CG10927
1631355_at	mRpS28
1630750_at	CG5323
1634753_at	CG5327
1627912_at	CG5493
1637240_a_at	Atg7
1631627_at	CG5335
1638795_at	sec6
1623861_at	Eip55E
1637676_at	CG5482
1640997_at	CG30122
	CG33724
1638485_s_at	SP2637
1626177_s_at	Gint3
1626177_s_at	CG42306
1623507_at	CG33136
1630707_at	edl
1630313_a_at	CG15086
	CG15086
1630517_at	CG15072
1634431_at	CG15071
1639524_at	CG18604
1627132_at	CG15073
1622971_at	CG15087
1629228_at	Hs3st-A
1630170_at	Hs3st-A
1632986_a_at	CG15088
1626311_at	CG15088
1636594_at	CG15088
1626916_at	CG33998
1638124_at	CG30121
1640006_at	CG18609
1634728_at	CG17821
1630170_at	Cyp12b2
1633076_at	CG42351
1640505_at	CG42351
1633447_at	Mctp
1634175_at	Mctp
1630236_s_at	CG15093
1629693_at	CG15080
1634952_s_at	CG15094
1636620_s_at	l(2)08717
1634762_a_at	CG15096
1637342_s_at	l(2)03709
	l(2)03709
1636208_a_at	CG15097
1640717_at	CG15082
1627634_at	CG15098
1636505_at	CG15083
1624237_at	CG15099
1630677_at	CG15100
1632748_at	CG15084
1637617_at	CG18190
1626414_at	Jheh1
1627773_a_at	Jheh2
1625587_at	Jheh3
	Dpt
1638235_at	DptB
1633623_s_at	sano
1627971_s_at	sano
1627133_at	Vha100-3
1623239_at	prod
1638387_at	CG15107
1630539_at	Topors
1633916_at	CG18605
1637113_s_at	abba
1626129_at	5-HT1B
1633993_at	CG30126
1638210_at	CG15115
1637075_at	CG15115
1633617_at	CG15116
1640525_a_at	CG15109
1638131_s_at	5-HT1A
1637910_at	CG30125
1624466_a_at	CG15117
1636990_at	botv
1630437_s_at	CG15118
1625568_a_at	CG15111
1627191_a_at	ena
1629898_s_at	CG10737
1631308_at	CG10737
1640266_a_at	CG7097
1638539_at	CG7137
1627454_a_at	cora
1640386_at	wbl
1641013_at	CG33454
1626041_at	CG33453
1623992_at	CG7229
1631066_at	rib
1623847_at	CG11906
1637907_at	CG10476
1639362_s_at	CG10476
1626776_at	CG10474
1639362_s_at	CG18606
1623840_at	CG18607
1638415_at	FK506-bp2
1638339_at	mip40
1627702_at	Tab2
1623788_at	CG7461
1627765_a_at	endoB
1633882_at	Rgk1
1629006_at	CG30127
	CG34045
1640229_at	CG9975
1637042_a_at	CG11961
1625957_at	CG10051
1641327_at	CG9416
1631555_at	CG10062
1637592_at	CG10073
1636402_at	CG10081
1631483_at	CG11257
1629086_s_at	Scs-fp
1632390_at	cer
1632191_s_at	hts
1632390_at	hts
1634962_s_at	hts
1641531_at	hts
1633226_at	hts
1634736_at	hts
	CG34197
1633524_a_at	CalpA
1628628_at	CalpA
1638939_at	CalpA
1626790_s_at	Fak56D
1626448_at	Spt5
1630813_at	RpL11
1624234_at	CG7735
1624742_a_at	Elongin-C
1636530_s_at	betaTub56D
1638510_at	CG7744
1625544_s_at	par-1
1625561_s_at	par-1
1627121_s_at	par-1
1628849_at	par-1
	par-1
1641026_a_at	par-1
1634534_at	mei-W68
1639253_at	CG11242
1628733_at	Oseg6
1631388_at	Rep
1634303_at	hpo
1622894_at	CG15120
1625583_at	CG16926
1630991_at	CG11007
1638026_at	CG15121
1634103_at	CG15122
1628136_at	CG15904
1623699_a_at	sm
1639383_a_at	CG16716
1637587_at	CG16716
1634399_at	CG18367
1625853_at	CG15124
1623980_at	CG15905
1641315_at	CG15125
1636367_at	CG11018
	hrg
1639818_s_at	hrg
1624145_a_at	isopeptidase-T-3
1634878_at	CG15127
1625557_at	CG34198
1630601_at	CG15128
	CG15126
1624074_at	Obp56a
1635999_at	Obp56b
1640389_at	Obp56c
1623659_at	Obp56d
1638276_at	Obp56e
1629161_at	Obp56f
1628760_at	CG8517
1631260_at	Or56a
1628792_at	Obp56g
1624130_at	Obp56h
1639160_at	Toll-7
1625363_at	Obp56i
1632758_at	CG13872
1629302_at	CG30447
1626572_at	CG10822
1625584_at	CG8654
1625053_at	CG16898
1626509_at	18w
1635777_at	CG11041
1640927_at	CG16894
1623662_at	CG11044
1634667_at	CG11099
1635194_at	CG13869
1627033_at	CG11048
1630892_at	CG11208
1627128_at	ppk6
1628721_at	CG9864
1625590_a_at	Ate1
1639384_s_at	CG11055
1623545_at	mus209
1632814_at	plu
1624983_s_at	RpS18
1640231_a_at	CG8908
1629271_at	CG10444
1626286_at	CG11788
1631519_at	CG9143
1633272_at	CG9090
1632397_at	CG16868
1626674_at	CG34199
1626291_at	Cpr56F
1632660_at	CkIIbeta2
1637056_s_at	CG11200
1638183_at	CG11200
1633382_s_at	CG8920
1638929_at	CG8920
1638183_at	CG13868
1636444_at	CG13871
1630559_at	MED8
1637223_s_at	CG8929
1633220_at	CG16739
1629749_a_at	CG13870
1637399_at	CG16741
1626013_at	CG11192
1628664_at	CG12484
	CG12484
1641288_at	Obp57c
1634121_at	Obp57c
1641288_at	Obp57b
1626586_at	Obp57a
1634384_at	CG13426
1627271_at	CG13422
1634789_at	CG30151
1640217_at	CG30154
1640144_at	CG18067
1623431_at	CG13423
1627159_at	CG13427
1623759_at	CG13428
1635894_at	CG30148
1629312_at	Obp57e
1626386_at	Cpr57A
1638679_at	Cpr57A
1629312_at	Cpr57A
1638679_at	Obp57d
1637174_s_at	Obp57d
1626386_at	Obp57d
1637174_s_at	CG13430
1637174_s_at	CG18065
1626386_at	CG18065
1637413_at	CG13424
1623607_at	Mgat1
1638079_at	l(2)05510
1629879_at	Nnf1a
1624355_at	bl
	bl
1623227_s_at	Hil
1631690_a_at	CG9945
1630411_at	CG9945
1640808_at	CG11180
1636191_a_at	CG16742
1630711_at	CG11175
1640239_at	rig
1639620_at	CG13436
1635314_at	maf-S
1627020_at	CG11110
1623268_a_at	CG33785
1623268_a_at	CG33786
1638500_at	DMAP1
1634207_at	CG16799
1633049_at	CG11159
1641219_at	CG11136
1636012_at	CG13437
1635417_a_at	Fem-1
1638186_a_at	Fem-1
1639059_s_at	exu
1635417_a_at	exu
1633180_at	exu
1634638_at	exu
1629525_at	CG30152
1632925_at	Gr57a
1631570_at	CG13438
1627071_at	dpr
1625460_s_at	dpr
1628958_at	CG13442
	CG34201
	CG34202
1624000_at	CG13443
1635920_at	CG15226
1638072_at	CG15225
1625035_at	insc
1624275_at	sktl
1625099_at	CG17999
1622901_at	CG9993
1629952_at	CG15227
1626345_at	IM4
	IM14
1641161_at	Ipk1
1627748_at	CG9236
1636475_at	otp
1636692_at	otp
1631848_at	CG9235
1632237_at	Rx
1634250_at	Act57B
	CG33704
1640180_at	hbn
1634210_at	CG15649
1631169_at	CG34115
1628560_at	CG9344
1641387_at	CG15650
1640970_at	CG9313
1637666_at	CG15651
1640308_a_at	CG3216
1630533_at	dgt3
1634820_at	Pros29
1633894_a_at	CG10543
1639747_at	CG30291
1633634_at	grau
1639337_at	CG9346
1627592_at	CG3295
1639028_a_at	CG30296
1625717_s_at	CG9350
1639613_at	shg
1625110_at	cpa
1629692_at	CG15653
1624228_at	mRpL54
1626929_at	Cht8
1631209_at	Cht12
1631472_at	Cht4
1631446_at	Cht9
1636040_at	CG10527
1635692_s_at	Treh
1640691_at	CG4030
1635292_at	CG34396
1640625_at	CG34396
1628723_at	CG4038
1639525_at	king-tubby
1636970_at	CG9394
1635587_s_at	CG4050
1636919_at	mago
1638176_at	Magi
1637368_at	CG9406
1635355_a_at	Xbp1
1638938_at	CG9418
1629558_at	CG15657
1637947_s_at	CG30389
1629558_at	CG30389
1632281_at	CG4266
1624214_at	CG9437
1631263_at	CG4279
1629170_s_at	Xpd
1639469_a_at	Pu
1633858_at	CG4286
1635340_at	tud
1624410_at	CG15658
1626221_at	Glycogenin
1635000_at	Glycogenin
1630066_at	CG4302
1625873_at	CG15661
1631216_a_at	CG18375
1630474_at	Rgk3
1634605_at	Rgk3
1624315_at	Rgk3
1638382_at	CG30391
1631347_at	CG30393
	CG34203
1622950_a_at	CG10069
1639368_at	CG10505
1634628_at	CG30392
1623090_at	CG30390
1631819_s_at	RpL29
1635476_at	CG9752
	CG30387
1629408_s_at	CG30387
1625200_at	CG30386
1628669_at	CG9754
1637538_s_at	CG9485
	CG33655
1629537_s_at	CG30394
1633331_at	dom
1628160_a_at	dom
1636034_at	dom
1641154_at	CG15666
1627972_at	CG9822
1640616_at	CG17974
1635655_at	cv-2
1639094_at	CG10795
1633739_at	EfSec
1639943_at	Acox57D-p
1633476_at	Acox57D-d
1631931_s_at	Sdc
1639858_s_at	Sara
1633836_a_at	Fkbp13
1633477_at	CG10496
1634325_a_at	MESK2
1635541_s_at	MESK2
1636999_a_at	MESK2
1638075_a_at	CG10494
1622958_at	CG30288
1638013_at	CG30289
1633948_a_at	Egfr
1631135_at	CG30286
1627091_at	CG30287
	CG33226
1624816_at	CG30283
1626470_at	CG10440
1637652_a_at	CG30222
1633070_at	CG30222
1631437_at	CG30222
1627156_at	CG33225
1627489_a_at	CG10433
1633872_at	CG15673
1627244_at	CG18870
1640257_at	clt
1629795_at	PTP-ER
1635568_at	CG10080
1629042_at	CG15674
1636406_at	CG10321
1638432_a_at	CG10082
1637741_a_at	CG30284
	CG10320
1636291_at	Rae1
1632964_at	CG15678
	CG42362
	CG42363
	CG42364
1632958_a_at	CG42365
1625692_s_at	CG9865
1625692_s_at	CG42379
1625692_s_at	CG42380
1625692_s_at	CG42381
1624134_a_at	NC2alpha
1639491_at	CG15676
1640739_at	CG30263
1635342_at	CG10306
1637663_at	Tbp
1635223_at	CG30285
1631447_at	CG10307
1637509_s_at	Tim10
1637509_s_at	CG42497
1625725_at	CG30290
